role,eodhd_symbol,ticker,status,row_count,start_date,end_date,error,finished_utc
stock,ADTN.US,ADTN,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:19Z
stock,ADTX.US,ADTX,ok,1462,1995-01-01,2026-04-24,,2026-04-28T19:57:20Z
stock,ADUS.US,ADUS,ok,4147,1995-01-01,2026-04-24,,2026-04-28T19:57:21Z
stock,ADV.US,ADV,ok,1609,1995-01-01,2026-04-24,,2026-04-28T19:57:22Z
stock,ADVB.US,ADVB,ok,286,1995-01-01,2026-04-24,,2026-04-28T19:57:22Z
stock,ADXN.US,ADXN,ok,1466,1995-01-01,2026-04-24,,2026-04-28T19:57:23Z
stock,AEAE.US,AEAE,ok,1095,1995-01-01,2026-04-24,,2026-04-28T19:57:23Z
stock,AEAQ.US,AEAQ,ok,63,1995-01-01,2026-04-24,,2026-04-28T19:57:24Z
stock,AEBI.US,AEBI,ok,205,1995-01-01,2026-04-24,,2026-04-28T19:57:24Z
stock,AEC.US,AEC,ok,3557,1995-01-01,2026-04-24,,2026-04-28T19:57:25Z
stock,AEE.US,AEE,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:26Z
stock,AEG.US,AEG,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:28Z
stock,AEHL.US,AEHL,ok,4617,1995-01-01,2026-04-24,,2026-04-28T19:57:29Z
stock,AEHR.US,AEHR,ok,7217,1995-01-01,2026-04-24,,2026-04-28T19:57:30Z
stock,AEI.US,AEI,ok,1359,1995-01-01,2026-04-24,,2026-04-28T19:57:31Z
stock,AEIS.US,AEIS,ok,7657,1995-01-01,2026-04-24,,2026-04-28T19:57:32Z
stock,AEM.US,AEM,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:34Z
stock,AEMD.US,AEMD,ok,6072,1995-01-01,2026-04-24,,2026-04-28T19:57:35Z
stock,AENT.US,AENT,ok,1278,1995-01-01,2026-04-24,,2026-04-28T19:57:35Z
stock,AEO.US,AEO,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:37Z
stock,AEON.US,AEON,ok,1085,1995-01-01,2026-04-24,,2026-04-28T19:57:37Z
stock,AEP.US,AEP,ok,7880,1995-01-01,2026-04-24,,2026-04-28T19:57:39Z
stock,AER.US,AER,ok,4885,1995-01-01,2026-04-24,,2026-04-28T19:57:40Z
stock,AERO.US,AERO,ok,116,1995-01-01,2026-04-24,,2026-04-28T19:57:40Z
